scenario,config,algo,reward_config,model_seed,evaluation_seed,episodes,mean_reward,std_reward,success_rate,mean_steps,mean_cost,service_rate
surprise,A,ppo,produtividade,42,556,100,-70.87400000000001,112.31178800108206,0.925320415783631,100.0,153.294,0.925320415783631
surprise,A,ppo,produtividade,123,556,100,-68.786,109.12784156208716,0.925320415783631,100.0,151.646,0.925320415783631
surprise,A,ppo,produtividade,256,556,100,-83.042,111.70390877672993,0.925320415783631,100.0,164.69199999999998,0.925320415783631
surprise,A,ppo,produtividade,789,556,100,-75.993,113.64720080582714,0.925320415783631,100.0,156.22299999999998,0.925320415783631
surprise,A,ppo,produtividade,1024,556,100,-78.93,113.9729717959482,0.9251185790695328,100.0,153.38000000000002,0.9251185790695328
surprise,B,ppo,produtividade,42,556,100,-137.487,139.96909491384162,0.925320415783631,100.0,229.17700000000002,0.925320415783631
surprise,B,ppo,produtividade,123,556,100,-138.421,140.38462899833445,0.925320415783631,100.0,230.11100000000002,0.925320415783631
surprise,B,ppo,produtividade,256,556,100,-135.731,140.7679883318647,0.925320415783631,100.0,227.421,0.925320415783631
surprise,B,ppo,produtividade,789,556,100,-138.421,140.38462899833445,0.925320415783631,100.0,230.11100000000002,0.925320415783631
surprise,B,ppo,produtividade,1024,556,100,-138.421,140.38462899833445,0.925320415783631,100.0,230.11100000000002,0.925320415783631
surprise,C,dqn,produtividade,42,556,100,-108.663,136.95735588496152,0.9252194974265819,100.0,198.27299999999997,0.9252194974265819
surprise,C,dqn,produtividade,123,556,100,-121.514,152.9059802754621,0.8993843980220002,100.0,208.69400000000002,0.8993843980220002
surprise,C,dqn,produtividade,256,556,100,-107.219,133.1480406877998,0.925320415783631,100.0,198.639,0.925320415783631
surprise,C,dqn,produtividade,789,556,100,-108.31300000000002,138.80609760021352,0.925320415783631,100.0,199.43299999999996,0.925320415783631
surprise,C,dqn,produtividade,1024,556,100,-116.291,156.10002440422616,0.925320415783631,100.0,207.97100000000003,0.925320415783631
