config,algo,model_seed,reference_evaluation_seed,surprise_master_seed,reference_episodes,surprise_episodes,reference_mean_reward,surprise_mean_reward,reward_gap,reference_success_rate,surprise_success_rate,success_rate_gap,reference_service_rate,surprise_service_rate,service_rate_gap,model_label
A,ppo,42,42,999,100,100,-72.939,-81.855,-8.916000000000011,0.917790430526421,0.9197738992463308,0.001983468719909842,0.917790430526421,0.9197738992463308,0.001983468719909842,Config A / seed 42
A,ppo,123,123,999,100,100,-68.95700000000001,-75.70400000000001,-6.747,0.9184809623222985,0.9197738992463308,0.0012929369240323174,0.9184809623222985,0.9197738992463308,0.0012929369240323174,Config A / seed 123
A,ppo,256,256,999,100,100,-94.99400000000001,-88.74899999999998,6.245000000000033,0.9126407012650662,0.9197738992463308,0.00713319798126455,0.9126407012650662,0.9197738992463308,0.00713319798126455,Config A / seed 256
A,ppo,789,789,999,100,100,-69.244,-92.71300000000002,-23.469000000000023,0.9177791262135923,0.9197738992463308,0.0019947730327385393,0.9177791262135923,0.9197738992463308,0.0019947730327385393,Config A / seed 789
A,ppo,1024,1024,999,100,100,-87.21500000000002,-81.813,5.402000000000015,0.9211480362537764,0.9191788972629908,-0.001969138990785546,0.9211480362537764,0.9191788972629908,-0.001969138990785546,Config A / seed 1024
B,ppo,42,42,999,100,100,-131.15200000000002,-158.50100000000003,-27.349000000000018,0.917790430526421,0.9197738992463308,0.001983468719909842,0.917790430526421,0.9197738992463308,0.001983468719909842,Config B / seed 42
B,ppo,123,123,999,100,100,-148.52200000000002,-158.93800000000002,-10.415999999999997,0.9184809623222985,0.9197738992463308,0.0012929369240323174,0.9184809623222985,0.9197738992463308,0.0012929369240323174,Config B / seed 123
B,ppo,256,256,999,100,100,-144.61900000000003,-154.833,-10.21399999999997,0.9126407012650662,0.9197738992463308,0.00713319798126455,0.9126407012650662,0.9197738992463308,0.00713319798126455,Config B / seed 256
B,ppo,789,789,999,100,100,-122.88900000000001,-159.11400000000003,-36.22500000000002,0.9177791262135923,0.9197738992463308,0.0019947730327385393,0.9177791262135923,0.9197738992463308,0.0019947730327385393,Config B / seed 789
B,ppo,1024,1024,999,100,100,-134.241,-159.11400000000003,-24.87300000000002,0.9222557905337362,0.9197738992463308,-0.002481891287405391,0.9222557905337362,0.9197738992463308,-0.002481891287405391,Config B / seed 1024
C,dqn,42,42,999,100,100,-105.27699999999999,-122.79400000000001,-17.517000000000024,0.917790430526421,0.9195755652518842,0.0017851347254632666,0.917790430526421,0.9195755652518842,0.0017851347254632666,Config C / seed 42
C,dqn,123,123,999,100,100,-130.826,-138.696,-7.8700000000000045,0.8904463664380157,0.8877429591431971,-0.0027034072948185495,0.8904463664380157,0.8877429591431971,-0.0027034072948185495,Config C / seed 123
C,dqn,256,256,999,100,100,-116.82800000000003,-119.15400000000001,-2.325999999999979,0.9126407012650662,0.9197738992463308,0.00713319798126455,0.9126407012650662,0.9197738992463308,0.00713319798126455,Config C / seed 256
C,dqn,789,789,999,100,100,-87.40599999999999,-119.33300000000003,-31.927000000000035,0.9177791262135923,0.9197738992463308,0.0019947730327385393,0.9177791262135923,0.9197738992463308,0.0019947730327385393,Config C / seed 789
C,dqn,1024,1024,999,100,100,-122.928,-136.284,-13.355999999999995,0.9222557905337362,0.9197738992463308,-0.002481891287405391,0.9222557905337362,0.9197738992463308,-0.002481891287405391,Config C / seed 1024
